

 ======================================

     Lambda(A),  E (eV) , Flux (HB=1.0), Species  , Kind, Accuracy (1-5)
 =================================================================
       85.180,  1.4556E+02,  3.4321E+12, Si V     , CCL ,    3
       85.571,  1.4489E+02,  1.9166E+12, Si V     , CCL ,    3
       85.938,  1.4427E+02,  1.0018E+12, Si V     , CCL ,    3
       90.450,  1.3708E+02,  2.4169E+13, Si V     , CCL ,    3
       90.631,  1.3680E+02,  7.8779E+11, Al V     , CCL ,    3
       90.646,  1.3678E+02,  9.5338E+11, Al V     , CCL ,    3
       90.700,  1.3670E+02,  3.9377E+11, Al V     , CCL ,    3
       90.794,  1.3656E+02,  9.6610E+10, Al V     , CCL ,    3
       90.848,  1.3647E+02,  2.5419E+13, Si V     , CCL ,    3
       90.914,  1.3637E+02,  1.8543E+11, Al V     , CCL ,    3
       90.984,  1.3627E+02,  1.8627E+11, Al V     , CCL ,    3
       91.078,  1.3613E+02,  2.1826E+11, Al V     , CCL ,    3
       91.747,  1.3514E+02,  4.5361E+11, Al V     , CCL ,    3
       91.933,  1.3486E+02,  1.1530E+11, Al V     , CCL ,    3
       92.001,  1.3476E+02,  1.6850E+11, Al V     , CCL ,    3
       92.037,  1.3471E+02,  2.8295E+11, Al V     , CCL ,    3
       92.224,  1.3444E+02,  4.8494E+11, Al V     , CCL ,    3
       93.499,  1.3261E+02,  6.8805E+07, Mg VI    , CC  ,    3
       93.500,  1.3260E+02,  1.2734E+07, Mg VI    , CC  ,    3
       93.500,  1.3260E+02,  3.4541E+07, Mg VI    , CC  ,    3
       93.653,  1.3239E+02,  3.1089E+10, Al V     , CCL ,    3
       93.755,  1.3224E+02,  9.0309E+12, Al V     , CCL ,    3
       93.856,  1.3210E+02,  3.3168E+12, Al V     , CCL ,    3
       93.882,  1.3206E+02,  3.8309E+11, Al V     , CCL ,    3
       93.956,  1.3196E+02,  8.6259E+11, Al V     , CCL ,    3
       93.981,  1.3193E+02,  1.5130E+12, Al V     , CCL ,    3
       94.016,  1.3188E+02,  1.0374E+12, Al V     , CCL ,    3
       94.089,  1.3177E+02,  3.5055E+11, Al V     , CCL ,    3
       94.117,  1.3173E+02,  2.2614E+10, Al V     , CCL ,    3
       94.160,  1.3167E+02,  1.0247E+12, Al V     , CCL ,    3
       94.186,  1.3164E+02,  6.7249E+11, Al V     , CCL ,    3
       94.321,  1.3145E+02,  2.9006E+11, Al V     , CCL ,    3
       94.395,  1.3135E+02,  6.0663E+10, Al V     , CCL ,    3
       95.379,  1.2999E+02,  7.1553E+11, Ne VI    , CC  ,    3
       95.385,  1.2998E+02,  6.3597E+12, Mg VI    , CC  ,    3
       95.420,  1.2993E+02,  8.7307E+11, Ne VI    , CC  ,    3
       95.421,  1.2993E+02,  1.2855E+13, Mg VI    , CC  ,    3
