::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::
 Photoionisation model P6, MAPPINGS V v5.1.13 
::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::
 (Diffuse Field , Robust Integration, Radiation Pressure)

 Run   :, example II                                                                                      
 Input :, INTERACTIVE                     
 Output:, photn0001.ph6                   

 Abundances:
 El.,log[X/H],12+[X/H],log[Del],log[Dep],log[Gas],12+[Gas], Mass Fr.
  H ,   0.000,  12.000,   0.000,   0.000,   0.000,  12.000, 7.676E-01
  He,  -1.120,  10.880,   0.000,   0.000,  -1.120,  10.880, 2.312E-01
  C ,  -5.200,   6.800,   0.000,  -0.300,  -5.387,   6.613, 5.772E-05
  N ,  -6.230,   5.770,   0.000,  -0.050,  -6.280,   5.720, 6.281E-06
  O ,  -4.310,   7.690,   0.000,  -0.070,  -4.380,   7.620, 5.968E-04
  Ne,  -5.070,   6.930,   0.000,   0.000,  -5.070,   6.930, 1.308E-04
  Na,  -6.750,   5.250,   0.000,  -1.000,  -7.750,   4.250, 3.114E-06
  Mg,  -5.430,   6.570,   0.000,  -1.080,  -6.510,   5.490, 6.877E-05
  Al,  -6.560,   5.440,   0.000,  -1.390,  -7.950,   4.050, 5.660E-06
  Si,  -5.490,   6.510,   0.000,  -0.810,  -6.300,   5.700, 6.922E-05
  S ,  -5.860,   6.140,   0.000,   0.000,  -5.860,   6.140, 3.371E-05
  Cl,  -7.630,   4.370,   0.000,  -1.000,  -8.630,   3.370, 6.330E-07
  Ar,  -6.600,   5.400,   0.000,   0.000,  -6.600,   5.400, 7.642E-06
  Ca,  -6.690,   5.310,   0.000,  -2.520,  -9.210,   2.790, 6.232E-06
  Fe,  -5.530,   6.470,   0.000,  -1.310,  -6.840,   5.160, 1.255E-04
  Ni,  -6.790,   5.210,   0.000,  -2.000,  -8.790,   3.210, 7.250E-06

 Base Mass XYZ:
 Mass  X,    0.76764, Y,   0.23124, Z,   0.00112
 Gas Phase Mass XYZ:
 Mass  X,    0.76793, Y,   0.23133, Z,   0.00075
  

 Flux Scale (H Beta = 1.000) :
 =============================
 H-beta  :, 3.7685E+01, (log(ergs/s)),  4.8468E+37, (ergs/s)


 Total Emission Line Flux Hbeta = 1.000  :
 =========================================
 F/Hbeta:, 4.8091E+01 ,:,  6.9330E-14, (ergs/cm^2/s)

 Total Two-Photon Continuum Hbeta = 1.000 :
 ==========================================
 F/Hbeta:, 2.2498E+01 ,:,  3.2434E-14, (ergs/cm^2/s)


 Line List >, 1.0000E-05, HBeta = 1.000 :,
 Number of lines:,   800 , Duplicates Combined:,   795

 ======================================

     Lambda(A),  E (eV) , Flux (HB=1.0), Species  , Kind, Accuracy (1-5)
 =================================================================
      303.782,  4.0814E+01,  3.2408E-01, He II    , RCAB,    3
      507.680,  2.4422E+01,  2.2284E-05, O  III   , CC  ,    3
      508.178,  2.4398E+01,  3.7155E-05, O  III   , CC  ,    3
      541.128,  2.2912E+01,  1.4621E-05, Ne IV    , CC  ,    3
      542.074,  2.2872E+01,  2.9670E-05, Ne IV    , CC  ,    3
      543.884,  2.2796E+01,  4.5734E-05, Ne IV    , CC  ,    3
      553.329,  2.2407E+01,  4.3664E-05, O  IV    , CC  ,    3
      554.076,  2.2377E+01,  3.1120E-04, O  IV    , CC  ,    3
      554.514,  2.2359E+01,  2.1819E-04, O  IV    , CC  ,    3
      555.264,  2.2329E+01,  1.6109E-04, O  IV    , CC  ,    3
      568.424,  2.1812E+01,  2.8482E-05, Ne V     , CC  ,    3
      569.756,  2.1761E+01,  1.9863E-05, Ne V     , CC  ,    3
      584.334,  2.1218E+01,  2.8141E-05, He I     , CC  ,    3
      584.334,  2.1218E+01,  6.8261E-01, He I     , RCB ,    5
      591.412,  2.0964E+01,  1.4997E+00, He I     , RCB ,    5
      599.590,  2.0678E+01,  1.6549E-05, O  III   , CC  ,    3
      608.397,  2.0379E+01,  1.6680E-04, O  IV    , CC  ,    3
